BTS ASCII format

Type:         	Joint angle tracks
Measure unit: 	deg

Tracks:       	14
Frequency:    	100 Hz
Frames:       	501
Start time:   	0.000

 Frame	 Time	     jRK.X	     jRK.Y	     jRK.Z	    jRHP.X	    jRHP.Y	    jRHP.Z	    jLHP.X	    jLHP.Y	    jLHP.Z	     jLK.X	     jLK.Y	     jLK.Z	    jRSP.X	    jRSP.Y	    jRSP.Z	    jLSP.X	    jLSP.Y	    jLSP.Z	     jLP.X	     jLP.Y	     jLP.Z	     jRP.X	     jRP.Y	     jRP.Z	    jLSH.X	    jLSH.Y	    jLSH.Z	    jRSH.X	    jRSH.Y	    jRSH.Z	     jRF.X	     jRF.Y	     jRF.Z	     jLF.X	     jLF.Y	     jLF.Z	     jRA.X	     jRA.Y	     jRA.Z	     jLA.X	     jLA.Y	     jLA.Z	
    24	0.240	      -4.0	       1.7	      -0.2	       0.7	      -7.1	      -2.1	      -4.6	       4.2	      -3.3	       3.1	       1.9	       1.1	      -0.5	       4.3	      -9.4	       0.5	      -4.3	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	     180.0	      90.0	     -18.9	     180.0	      90.0	       1.6	     -10.9	       6.4	       1.0	     -13.3	      11.3	
    25	0.250	      -4.0	       1.7	      -0.2	       0.7	      -7.1	      -2.1	      -4.6	       4.2	      -3.3	       3.1	       1.9	       1.1	      -0.5	       4.3	      -9.4	       0.5	      -4.3	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	    -180.0	      90.0	     -18.9	     180.0	      90.0	       1.6	     -10.9	       6.4	       1.0	     -13.3	      11.3	
    26	0.260	      -4.0	       1.7	      -0.2	       0.7	      -7.1	      -2.1	      -4.6	       4.2	      -3.3	       3.1	       1.9	       1.1	      -0.5	       4.3	      -9.4	       0.5	      -4.3	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	     180.0	      90.0	     -18.8	    -180.0	      90.0	       1.6	     -11.0	       6.4	       1.0	     -13.3	      11.3	
    27	0.270	      -4.0	       1.7	      -0.2	       0.7	      -7.1	      -2.1	      -4.6	       4.2	      -3.3	       3.1	       1.9	       1.1	      -0.5	       4.3	      -9.4	       0.5	      -4.3	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	    -180.0	      90.0	     -18.8	    -180.0	      90.0	       1.6	     -11.0	       6.4	       1.0	     -13.3	      11.3	
    28	0.280	      -4.0	       1.7	      -0.2	       0.7	      -7.1	      -2.1	      -4.5	       4.2	      -3.3	       3.1	       1.9	       1.1	      -0.5	       4.3	      -9.4	       0.5	      -4.3	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	     180.0	      90.0	     -18.8	    -180.0	      90.0	       1.6	     -11.0	       6.4	       1.0	     -13.3	      11.3	
    29	0.290	      -4.0	       1.8	      -0.2	       0.7	      -7.1	      -2.1	      -4.5	       4.2	      -3.3	       3.1	       1.9	       1.1	      -0.5	       4.4	      -9.4	       0.5	      -4.4	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.8	    -180.0	      90.0	       1.6	     -11.0	       6.4	       1.0	     -13.3	      11.3	
    30	0.300	      -4.1	       1.8	      -0.1	       0.7	      -7.1	      -2.1	      -4.5	       4.2	      -3.3	       3.1	       1.9	       1.1	      -0.5	       4.4	      -9.4	       0.5	      -4.4	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.8	    -180.0	      90.0	       1.6	     -11.0	       6.4	       1.0	     -13.3	      11.3	
    31	0.310	      -4.1	       1.8	      -0.1	       0.7	      -7.1	      -2.1	      -4.5	       4.2	      -3.3	       3.1	       1.9	       1.1	      -0.5	       4.4	      -9.4	       0.5	      -4.4	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.8	     180.0	      90.0	       1.6	     -11.0	       6.4	       1.0	     -13.3	      11.3	
    32	0.320	      -4.1	       1.8	      -0.1	       0.7	      -7.2	      -2.1	      -4.4	       4.2	      -3.3	       3.0	       1.9	       1.1	      -0.5	       4.4	      -9.4	       0.5	      -4.4	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.8	    -180.0	      90.0	       1.6	     -11.0	       6.4	       1.0	     -13.3	      11.3	
    33	0.330	      -4.0	       1.8	      -0.1	       0.7	      -7.2	      -2.1	      -4.4	       4.2	      -3.3	       3.0	       1.9	       1.1	      -0.5	       4.4	      -9.4	       0.5	      -4.4	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.8	    -180.0	      90.0	       1.7	     -11.1	       6.5	       1.0	     -13.3	      11.4	
    34	0.340	      -4.0	       1.8	      -0.1	       0.7	      -7.2	      -2.1	      -4.4	       4.2	      -3.3	       3.0	       1.9	       1.1	      -0.5	       4.4	      -9.4	       0.5	      -4.4	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.8	     180.0	      90.0	       1.7	     -11.1	       6.5	       0.9	     -13.3	      11.4	
    35	0.350	      -4.0	       1.8	      -0.1	       0.7	      -7.2	      -2.1	      -4.4	       4.2	      -3.3	       3.0	       1.9	       1.1	      -0.5	       4.4	      -9.4	       0.5	      -4.4	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	    -180.0	      90.0	     -18.8	     180.0	      90.0	       1.7	     -11.1	       6.5	       0.9	     -13.3	      11.4	
    36	0.360	      -4.0	       1.8	      -0.1	       0.7	      -7.2	      -2.1	      -4.4	       4.2	      -3.3	       2.9	       1.9	       1.1	      -0.5	       4.4	      -9.4	       0.5	      -4.4	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	    -180.0	      90.0	     -18.8	     180.0	      90.0	       1.7	     -11.1	       6.5	       0.9	     -13.3	      11.4	
    37	0.370	      -4.0	       1.8	      -0.0	       0.7	      -7.2	      -2.1	      -4.3	       4.2	      -3.3	       2.9	       1.9	       1.1	      -0.5	       4.4	      -9.5	       0.5	      -4.4	      -9.5	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.8	     180.0	      90.0	       1.7	     -11.1	       6.5	       0.9	     -13.3	      11.3	
    38	0.380	      -4.1	       1.8	      -0.0	       0.7	      -7.2	      -2.1	      -4.3	       4.2	      -3.3	       2.9	       1.9	       1.1	      -0.5	       4.3	      -9.5	       0.5	      -4.3	      -9.5	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	    -180.0	      90.0	     -18.8	    -180.0	      90.0	       1.7	     -11.1	       6.5	       0.9	     -13.3	      11.3	
    39	0.390	      -4.1	       1.8	      -0.0	       0.7	      -7.2	      -2.1	      -4.3	       4.2	      -3.3	       2.9	       1.9	       1.1	      -0.5	       4.3	      -9.5	       0.5	      -4.3	      -9.5	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	    -180.0	      90.0	     -18.8	    -180.0	      90.0	       1.7	     -11.1	       6.5	       0.9	     -13.3	      11.3	
    40	0.400	      -4.1	       1.8	      -0.0	       0.7	      -7.2	      -2.0	      -4.3	       4.2	      -3.3	       2.9	       1.9	       1.1	      -0.5	       4.3	      -9.5	       0.5	      -4.3	      -9.5	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	    -180.0	      90.0	     -18.8	    -180.0	      90.0	       1.7	     -11.1	       6.5	       0.9	     -13.2	      11.3	
    41	0.410	      -4.1	       1.8	      -0.0	       0.8	      -7.2	      -2.0	      -4.3	       4.2	      -3.3	       2.8	       1.9	       1.1	      -0.5	       4.3	      -9.6	       0.5	      -4.3	      -9.6	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.8	     180.0	      90.0	       1.6	     -11.1	       6.5	       0.9	     -13.2	      11.3	
    42	0.420	      -4.1	       1.8	      -0.0	       0.8	      -7.2	      -2.0	      -4.3	       4.2	      -3.3	       2.8	       1.9	       1.1	      -0.5	       4.3	      -9.6	       0.5	      -4.3	      -9.6	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	    -180.0	      90.0	     -18.8	    -180.0	      90.0	       1.6	     -11.1	       6.5	       0.9	     -13.2	      11.3	
    43	0.430	      -4.1	       1.8	      -0.0	       0.8	      -7.2	      -2.0	      -4.2	       4.2	      -3.3	       2.8	       1.9	       1.1	      -0.5	       4.3	      -9.6	       0.5	      -4.3	      -9.6	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.8	    -180.0	      90.0	       1.6	     -11.1	       6.5	       0.9	     -13.2	      11.3	
    44	0.440	      -4.1	       1.8	      -0.0	       0.8	      -7.2	      -2.0	      -4.2	       4.2	      -3.3	       2.8	       1.9	       1.0	      -0.5	       4.3	      -9.6	       0.5	      -4.3	      -9.6	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.8	    -180.0	      90.0	       1.6	     -11.1	       6.5	       0.9	     -13.3	      11.3	
    45	0.450	      -4.1	       1.8	      -0.0	       0.8	      -7.2	      -2.0	      -4.1	       4.2	      -3.3	       2.7	       1.9	       1.0	      -0.5	       4.3	      -9.6	       0.5	      -4.3	      -9.6	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.8	    -180.0	      90.0	       1.6	     -11.1	       6.5	       0.9	     -13.3	      11.2	
    46	0.460	      -4.1	       1.8	      -0.1	       0.8	      -7.2	      -2.0	      -4.0	       4.2	      -3.3	       2.7	       2.0	       1.0	      -0.5	       4.2	      -9.6	       0.5	      -4.2	      -9.6	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	     180.0	      90.0	     -18.8	     180.0	      90.0	       1.6	     -11.1	       6.5	       0.9	     -13.3	      11.2	
