BTS ASCII format

Type:         	Joint angle tracks
Measure unit: 	deg

Tracks:       	14
Frequency:    	100 Hz
Frames:       	516
Start time:   	0.000

 Frame	 Time	     jRK.X	     jRK.Y	     jRK.Z	    jRHP.X	    jRHP.Y	    jRHP.Z	    jLHP.X	    jLHP.Y	    jLHP.Z	     jLK.X	     jLK.Y	     jLK.Z	     jLP.X	     jLP.Y	     jLP.Z	     jRP.X	     jRP.Y	     jRP.Z	    jLSH.X	    jLSH.Y	    jLSH.Z	    jRSH.X	    jRSH.Y	    jRSH.Z	    jRSP.X	    jRSP.Y	    jRSP.Z	    jLSP.X	    jLSP.Y	    jLSP.Z	     jRF.X	     jRF.Y	     jRF.Z	     jLF.X	     jLF.Y	     jLF.Z	     jRA.X	     jRA.Y	     jRA.Z	     jLA.X	     jLA.Y	     jLA.Z	
    28	0.280	      -9.5	       1.7	      -0.9	      -1.6	      -9.7	      -3.6	      -4.7	       0.7	      -4.7	       0.4	       2.9	      -2.5	       1.9	       5.7	       1.8	      -1.9	      -5.7	       1.8	       2.9	       0.4	       8.9	      -2.9	      -0.4	       8.9	       1.2	       5.3	      -7.0	      -1.2	      -5.3	      -7.0	     -24.6	     180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.3	       2.0	       1.1	      -8.2	       3.6	
    29	0.290	      -9.6	       1.7	      -0.9	      -1.6	      -9.7	      -3.6	      -4.7	       0.6	      -4.7	       0.4	       2.9	      -2.5	       1.9	       5.7	       1.8	      -1.9	      -5.7	       1.8	       2.9	       0.4	       8.9	      -2.9	      -0.4	       8.9	       1.2	       5.3	      -7.0	      -1.2	      -5.3	      -7.0	     -24.6	    -180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.3	       2.1	       1.1	      -8.2	       3.6	
    30	0.300	      -9.5	       1.7	      -0.9	      -1.6	      -9.7	      -3.6	      -4.7	       0.6	      -4.7	       0.5	       2.9	      -2.5	       1.9	       5.7	       1.8	      -1.9	      -5.7	       1.8	       2.9	       0.3	       8.9	      -2.9	      -0.3	       8.9	       1.2	       5.3	      -7.0	      -1.2	      -5.3	      -7.0	     -24.6	    -180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.3	       2.0	       1.1	      -8.2	       3.6	
    31	0.310	      -9.5	       1.7	      -0.9	      -1.5	      -9.7	      -3.6	      -4.7	       0.6	      -4.7	       0.5	       2.9	      -2.5	       1.9	       5.7	       1.8	      -1.9	      -5.7	       1.8	       2.9	       0.3	       8.9	      -2.9	      -0.3	       8.9	       1.2	       5.4	      -6.9	      -1.2	      -5.4	      -6.9	     -24.6	    -180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.3	       2.0	       1.1	      -8.3	       3.6	
    32	0.320	      -9.6	       1.7	      -0.9	      -1.5	      -9.7	      -3.6	      -4.7	       0.6	      -4.7	       0.4	       2.9	      -2.5	       1.9	       5.7	       1.8	      -1.9	      -5.7	       1.8	       2.9	       0.3	       8.9	      -2.9	      -0.3	       8.9	       1.2	       5.3	      -6.9	      -1.2	      -5.3	      -6.9	     -24.6	    -180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.3	       2.0	       1.1	      -8.2	       3.6	
    33	0.330	      -9.6	       1.7	      -0.9	      -1.5	      -9.7	      -3.6	      -4.7	       0.6	      -4.7	       0.4	       2.9	      -2.5	       1.9	       5.7	       1.8	      -1.9	      -5.7	       1.8	       2.9	       0.3	       8.9	      -2.9	      -0.3	       8.9	       1.2	       5.4	      -6.9	      -1.2	      -5.4	      -6.9	     -24.6	     180.0	      90.0	      14.1	       0.0	      90.0	       1.6	     -12.2	       2.0	       1.1	      -8.2	       3.6	
    34	0.340	      -9.6	       1.7	      -0.9	      -1.6	      -9.7	      -3.6	      -4.7	       0.6	      -4.7	       0.5	       2.9	      -2.5	       1.9	       5.7	       1.8	      -1.9	      -5.7	       1.8	       3.0	       0.3	       8.9	      -3.0	      -0.3	       8.9	       1.2	       5.4	      -6.9	      -1.2	      -5.4	      -6.9	     -24.6	    -180.0	      90.0	      14.1	      -0.0	      90.0	       1.5	     -12.2	       2.0	       1.1	      -8.3	       3.6	
    35	0.350	      -9.6	       1.7	      -0.9	      -1.6	      -9.7	      -3.6	      -4.7	       0.6	      -4.7	       0.4	       2.9	      -2.5	       1.9	       5.7	       1.8	      -1.9	      -5.7	       1.8	       3.0	       0.3	       8.8	      -3.0	      -0.3	       8.8	       1.2	       5.4	      -6.9	      -1.2	      -5.4	      -6.9	     -24.6	     180.0	      90.0	      14.1	      -0.0	      90.0	       1.6	     -12.2	       2.0	       1.1	      -8.2	       3.6	
    36	0.360	      -9.6	       1.7	      -0.9	      -1.6	      -9.7	      -3.6	      -4.7	       0.6	      -4.7	       0.4	       2.9	      -2.6	       1.9	       5.7	       1.8	      -1.9	      -5.7	       1.8	       3.0	       0.3	       8.9	      -3.0	      -0.3	       8.9	       1.2	       5.4	      -6.9	      -1.2	      -5.4	      -6.9	     -24.6	     180.0	      90.0	      14.1	      -0.0	      90.0	       1.6	     -12.2	       2.0	       1.1	      -8.2	       3.5	
    37	0.370	      -9.6	       1.7	      -1.0	      -1.5	      -9.7	      -3.6	      -4.7	       0.6	      -4.7	       0.3	       2.9	      -2.6	       1.9	       5.7	       1.8	      -1.9	      -5.7	       1.8	       3.0	       0.3	       8.8	      -3.0	      -0.3	       8.8	       1.2	       5.4	      -6.9	      -1.2	      -5.4	      -6.9	     -24.6	    -180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.2	       2.0	       1.1	      -8.1	       3.6	
