BTS ASCII format

Type:         	3D vector tracks
Measure unit: 	%

Tracks:       	8
Frequency:    	100 Hz
Frames:       	501
Start time:   	0.000

 Frame	 Time	 vRLASIS.X	 vRLASIS.Y	 vRLASIS.Z	 vLRASIS.X	 vLRASIS.Y	 vLRASIS.Z	    vRFz.X	    vRFz.Y	    vRFz.Z	    vLFz.X	    vLFz.Y	    vLFz.Z	    vRFx.X	    vRFx.Y	    vRFx.Z	    vRFy.X	    vRFy.Y	    vRFy.Z	    vLFx.X	    vLFx.Y	    vLFx.Z	    vLFy.X	    vLFy.Y	    vLFy.Z	
    69	0.690	  9.741138	  7.353964	-99.252357	 -9.741138	 -7.353964	 99.252357	 11.579202	  0.428342	-99.326424	 -1.722971	 -5.029729	-99.858566	-95.179451	 -3.207375	-30.505493	 -3.379751	 99.942863	  0.036999	-97.747383	 -6.207456	 20.172184	 -7.335074	 99.610634	 -4.890681	
    70	0.700	  9.760691	  7.359216	-99.250046	 -9.760691	 -7.359216	 99.250046	 11.564894	  0.422746	-99.328110	 -1.802973	 -5.021241	-99.857582	-95.176979	 -3.215795	-30.512312	 -3.386764	 99.942627	  0.031036	-97.745491	 -6.230991	 20.174103	 -7.356205	 99.609795	 -4.875962	
    71	0.710	  9.781005	  7.363234	-99.247742	 -9.781005	 -7.363234	 99.247742	 11.542636	  0.417357	-99.330727	 -1.876088	 -5.012797	-99.856659	-95.175911	 -3.219671	-30.515242	 -3.389282	 99.942543	  0.026079	-97.744034	 -6.249356	 20.175451	 -7.372158	 99.609306	 -4.861874	
    72	0.720	  9.800202	  7.365909	-99.245651	 -9.800202	 -7.365909	 99.245651	 11.518534	  0.412886	-99.333542	 -1.925893	 -5.010385	-99.855827	-95.175957	 -3.220450	-30.515018	 -3.388932	 99.942558	  0.022443	-97.742821	 -6.263627	 20.176924	 -7.385515	 99.608627	 -4.855538	
    73	0.730	  9.817919	  7.367620	-99.243774	 -9.817919	 -7.367620	 99.243774	 11.503963	  0.407298	-99.335251	 -1.957152	 -5.016999	-99.854889	-95.176132	 -3.219398	-30.514574	 -3.386280	 99.942650	  0.017626	-97.741989	 -6.273014	 20.178061	 -7.395980	 99.607643	 -4.859615	
    74	0.740	  9.834101	  7.366835	-99.242226	 -9.834101	 -7.366835	 99.242226	 11.499461	  0.400129	-99.335808	 -1.973576	 -5.026593	-99.854088	-95.177345	 -3.215145	-30.511230	 -3.379756	 99.942871	  0.011322	-97.742371	 -6.274408	 20.175772	 -7.398932	 99.607025	 -4.867919	
    75	0.750	  9.850909	  7.363662	-99.240799	 -9.850909	 -7.363662	 99.240799	 11.506875	  0.392372	-99.334976	 -1.961919	 -5.040241	-99.853630	-95.179306	 -3.209360	-30.505735	 -3.371351	 99.943153	  0.004240	-97.743340	 -6.270904	 20.172142	 -7.398055	 99.606384	 -4.882404	
    76	0.760	  9.864315	  7.358312	-99.239861	 -9.864315	 -7.358312	 99.239861	 11.522237	  0.383390	-99.333229	 -1.929336	 -5.057436	-99.853394	-95.180878	 -3.203257	-30.501472	 -3.362176	 99.943466	 -0.004253	-97.744064	 -6.266145	 20.170116	 -7.397027	 99.605492	 -4.901958	
    77	0.770	  9.876246	  7.351130	-99.239204	 -9.876246	 -7.351130	 99.239204	 11.545025	  0.371900	-99.330627	 -1.888276	 -5.071258	-99.853477	-95.182632	 -3.193496	-30.497021	 -3.348440	 99.943924	 -0.014987	-97.744919	 -6.258644	 20.168301	 -7.392678	 99.604988	 -4.918839	
    78	0.780	  9.885603	  7.342380	-99.238930	 -9.885603	 -7.342380	 99.238930	 11.567812	  0.359077	-99.328026	 -1.827610	 -5.076982	-99.854317	-95.185295	 -3.180178	-30.490097	 -3.330669	 99.944511	 -0.026587	-97.746414	 -6.246563	 20.164795	 -7.382233	 99.605247	 -4.929203	
    79	0.790	  9.888805	  7.333370	-99.239273	 -9.888805	 -7.333370	 99.239273	 11.594827	  0.344887	-99.324921	 -1.761384	 -5.081479	-99.855270	-95.187584	 -3.165372	-30.484509	 -3.310942	 99.945160	 -0.039466	-97.747398	 -6.235245	 20.163523	 -7.372541	 99.605492	 -4.938721	
