BTS ASCII format

Type:         	Joint angle tracks
Measure unit: 	deg

Tracks:       	14
Frequency:    	100 Hz
Frames:       	516
Start time:   	0.000

 Frame	 Time	     jRK.X	     jRK.Y	     jRK.Z	    jRHP.X	    jRHP.Y	    jRHP.Z	    jLHP.X	    jLHP.Y	    jLHP.Z	     jLK.X	     jLK.Y	     jLK.Z	     jLP.X	     jLP.Y	     jLP.Z	     jRP.X	     jRP.Y	     jRP.Z	    jLSH.X	    jLSH.Y	    jLSH.Z	    jRSH.X	    jRSH.Y	    jRSH.Z	    jRSP.X	    jRSP.Y	    jRSP.Z	    jLSP.X	    jLSP.Y	    jLSP.Z	     jRF.X	     jRF.Y	     jRF.Z	     jLF.X	     jLF.Y	     jLF.Z	     jRA.X	     jRA.Y	     jRA.Z	     jLA.X	     jLA.Y	     jLA.Z	
    24	0.240	 -9.498016	  1.684401	 -0.890790	 -1.557595	 -9.709866	 -3.605678	 -4.712843	  0.668956	 -4.659499	  0.485715	  2.929064	 -2.398849	  1.866902	  5.749139	  1.832017	 -1.866902	 -5.749139	  1.832017	  2.914507	  0.376194	  8.967681	 -2.914507	 -0.376194	  8.967681	  1.223871	  5.335592	 -7.022600	 -1.223871	 -5.335592	 -7.022600	-24.554235	180.000000	 90.000000	 14.174800	 -0.000016	 90.000000	  1.548252	-12.325537	  2.027890	  1.070920	 -8.258581	  3.633360	
    25	0.250	 -9.496212	  1.683746	 -0.900843	 -1.567590	 -9.698933	 -3.618061	 -4.711119	  0.655535	 -4.673821	  0.474888	  2.936445	 -2.421309	  1.864341	  5.740616	  1.825028	 -1.864341	 -5.740616	  1.825028	  2.918585	  0.371723	  8.964354	 -2.918585	 -0.371723	  8.964354	  1.229746	  5.331468	 -7.025797	 -1.229746	 -5.331468	 -7.025797	-24.562428	180.000000	 90.000000	 14.160110	 -0.000001	 90.000000	  1.554839	-12.313416	  2.026647	  1.060365	 -8.235880	  3.627131	
    26	0.260	 -9.535016	  1.680577	 -0.916716	 -1.572558	 -9.693383	 -3.631294	 -4.722868	  0.651679	 -4.681875	  0.501586	  2.934617	 -2.416820	  1.863677	  5.735266	  1.818913	 -1.863677	 -5.735266	  1.818913	  2.909698	  0.365915	  8.942810	 -2.909698	 -0.365915	  8.942810	  1.220938	  5.332336	 -7.011311	 -1.220938	 -5.332336	 -7.011311	-24.569263	180.000000	 90.000000	 14.161619	 -0.000008	 90.000000	  1.555906	-12.275312	  2.027740	  1.065795	 -8.249374	  3.621722	
    27	0.270	 -9.559145	  1.681159	 -0.931238	 -1.559420	 -9.694977	 -3.639197	 -4.719785	  0.652609	 -4.693269	  0.496505	  2.938898	 -2.429263	  1.868783	  5.735237	  1.815476	 -1.868783	 -5.735237	  1.815476	  2.907222	  0.364647	  8.936852	 -2.907222	 -0.364647	  8.936852	  1.213049	  5.333901	 -7.009555	 -1.213049	 -5.333901	 -7.009555	-24.566544	180.000000	 90.000000	 14.176126	  0.000003	 90.000000	  1.549919	-12.260012	  2.016388	  1.070015	 -8.258393	  3.622391	
    28	0.280	 -9.538713	  1.682053	 -0.901876	 -1.558644	 -9.694059	 -3.624887	 -4.700991	  0.652494	 -4.705447	  0.443606	  2.941072	 -2.466139	  1.874627	  5.734622	  1.816989	 -1.874627	 -5.734622	  1.816989	  2.928804	  0.358620	  8.928702	 -2.928804	 -0.358620	  8.928702	  1.229169	  5.338748	 -6.998313	 -1.229169	 -5.338748	 -6.998313	-24.566774	180.000000	 90.000000	 14.176754	 -0.000003	 90.000000	  1.554743	-12.281846	  2.040178	  1.065336	 -8.220503	  3.605363	
    29	0.290	 -9.562640	  1.679192	 -0.863978	 -1.566059	 -9.685235	 -3.598168	 -4.700469	  0.643833	 -4.701325	  0.443561	  2.940876	 -2.474886	  1.874246	  5.727319	  1.820727	 -1.874246	 -5.727319	  1.820727	  2.939574	  0.351148	  8.915565	 -2.939574	 -0.351148	  8.915565	  1.240719	  5.338462	 -6.980445	 -1.240719	 -5.338462	 -6.980445	-24.558121	-180.000000	 90.000000	 14.163904	 -0.000018	 90.000000	  1.561197	-12.251304	  2.062123	  1.062276	 -8.216398	  3.583752	
    30	0.300	 -9.501136	  1.674338	 -0.902837	 -1.558228	 -9.680637	 -3.607002	 -4.694975	  0.642208	 -4.683104	  0.463893	  2.938948	 -2.458358	  1.874839	  5.725914	  1.832453	 -1.874839	 -5.725914	  1.832453	  2.937086	  0.343004	  8.905035	 -2.937086	 -0.343004	  8.905035	  1.238952	  5.345049	 -6.958454	 -1.238952	 -5.345049	 -6.958454	-24.552469	-180.000000	 90.000000	 14.159676	 -0.000008	 90.000000	  1.556039	-12.332231	  2.036783	  1.066924	 -8.249568	  3.598437	
    31	0.310	 -9.511135	  1.669869	 -0.915971	 -1.546150	 -9.674885	 -3.610322	 -4.687932	  0.639434	 -4.694226	  0.467656	  2.941112	 -2.485955	  1.881284	  5.723306	  1.831722	 -1.881284	 -5.723306	  1.831722	  2.929978	  0.335798	  8.882492	 -2.929978	 -0.335798	  8.882492	  1.225436	  5.350120	 -6.938025	 -1.225436	 -5.350120	 -6.938025	-24.568604	-180.000000	 90.000000	 14.158852	 -0.000006	 90.000000	  1.556882	-12.338429	  2.030554	  1.063116	 -8.269580	  3.592345	
    32	0.320	 -9.559691	  1.667635	 -0.940767	 -1.543500	 -9.666364	 -3.616408	 -4.717085	  0.629614	 -4.704108	  0.448778	  2.944901	 -2.501839	  1.890157	  5.715124	  1.831092	 -1.890157	 -5.715124	  1.831092	  2.940135	  0.328572	  8.855296	 -2.940135	 -0.328572	  8.855296	  1.226634	  5.349136	 -6.911486	 -1.226634	 -5.349136	 -6.911486	-24.569216	-180.000000	 90.000000	 14.158848	 -0.000007	 90.000000	  1.555237	-12.272108	  2.023457	  1.059195	 -8.232965	  3.588800	
    33	0.330	 -9.564800	  1.668597	 -0.918175	 -1.548246	 -9.668814	 -3.578159	 -4.693912	  0.630526	 -4.688936	  0.435457	  2.942582	 -2.500676	  1.905326	  5.713484	  1.843309	 -1.905326	 -5.713484	  1.843309	  2.945724	  0.320304	  8.853324	 -2.945724	 -0.320304	  8.853324	  1.218389	  5.355826	 -6.898207	 -1.218389	 -5.355826	 -6.898207	-24.571714	180.000000	 90.000000	 14.144295	  0.000013	 90.000000	  1.551197	-12.244613	  2.028150	  1.061467	 -8.249722	  3.589702	
