BTS ASCII format

Type:         	3D vector tracks
Measure unit: 	%

Tracks:       	8
Frequency:    	100 Hz
Frames:       	516
Start time:   	0.000

 Frame	 Time	 vRLASIS.X	 vRLASIS.Y	 vRLASIS.Z	 vLRASIS.X	 vLRASIS.Y	 vLRASIS.Z	    vRFz.X	    vRFz.Y	    vRFz.Z	    vLFz.X	    vLFz.Y	    vLFz.Z	    vRFx.X	    vRFx.Y	    vRFx.Z	    vRFy.X	    vRFy.Y	    vRFy.Z	    vLFx.X	    vLFx.Y	    vLFx.Z	    vLFy.X	    vLFy.Y	    vLFy.Z	
    28	0.280	  6.426288	  9.862955	-99.304703	 -6.426288	 -9.862955	 99.304703	 21.042679	 -2.744892	-97.722420	-12.162654	  2.742111	-99.219711	-91.231949	  2.115725	-40.893219	  3.260677	 99.924667	 -2.104625	-98.079834	 -0.634721	 19.492136	 -0.095536	 99.961464	  2.774322	
    29	0.290	  6.402215	  9.850866	-99.307457	 -6.402215	 -9.850866	 99.307457	 21.032894	 -2.741731	-97.724617	-12.185705	  2.751367	-99.216621	-91.228798	  2.101071	-40.901009	  3.245115	 99.925163	 -2.105035	-98.081703	 -0.613063	 19.483435	 -0.072398	 99.961296	  2.780909	
    30	0.300	  6.401295	  9.847725	-99.307838	 -6.401295	 -9.847725	 99.307838	 20.963472	 -2.742408	-97.739510	-12.099216	  2.742592	-99.227455	-91.222206	  2.113668	-40.915054	  3.259293	 99.924706	 -2.104658	-98.079330	 -0.621135	 19.495106	 -0.081896	 99.961510	  2.772867	
    31	0.310	  6.405921	  9.843431	-99.307961	 -6.405921	 -9.843431	 99.307961	 20.997644	 -2.740587	-97.732231	-12.121202	  2.744231	-99.224724	-91.215256	  2.106822	-40.930908	  3.251857	 99.924973	 -2.103418	-98.078773	 -0.639844	 19.497297	 -0.100113	 99.961388	  2.776834	
    32	0.320	  6.360888	  9.831431	-99.312042	 -6.360888	 -9.831431	 99.312042	 21.135536	 -2.747111	-97.702316	-12.191008	  2.755143	-99.215874	-91.224831	  2.088191	-40.910511	  3.233643	 99.925430	 -2.110098	-98.078415	 -0.649462	 19.498766	 -0.107446	 99.961044	  2.789038	
    33	0.330	  6.368776	  9.828479	-99.311829	 -6.368776	 -9.828479	 99.311829	 21.168383	 -2.758303	-97.694893	-12.134579	  2.747542	-99.222992	-91.224159	  2.074229	-40.912724	  3.224074	 99.925468	 -2.122694	-98.081238	 -0.651710	 19.484503	 -0.111611	 99.961243	  2.781635	
    34	0.340	  6.384193	  9.826165	-99.311073	 -6.384193	 -9.826165	 99.311073	 21.231850	 -2.764333	-97.680946	-12.077889	  2.748205	-99.229897	-91.219727	  2.069383	-40.922836	  3.221384	 99.925453	 -2.127654	-98.084976	 -0.668689	 19.465128	 -0.128960	 99.961151	  2.784154	
    35	0.350	  6.418917	  9.834914	-99.307968	 -6.418917	 -9.834914	 99.307968	 21.154884	 -2.747510	-97.698120	-12.167825	  2.758453	-99.218628	-91.220634	  2.078366	-40.920368	  3.224127	 99.925697	 -2.112024	-98.084671	 -0.638663	 19.467644	 -0.096933	 99.960999	  2.790980	
    36	0.360	  6.436611	  9.833400	-99.306969	 -6.436611	 -9.833400	 99.306969	 21.150770	 -2.737674	-97.699287	-12.318423	  2.762526	-99.199928	-91.221001	  2.080237	-40.919453	  3.221905	 99.925964	 -2.102564	-98.084221	 -0.635592	 19.470028	 -0.092887	 99.960884	  2.795251	
    37	0.370	  6.454344	  9.827938	-99.306358	 -6.454344	 -9.827938	 99.306358	 21.192480	 -2.748169	-97.689949	-12.360675	  2.766747	-99.194550	-91.224899	  2.086975	-40.910427	  3.232208	 99.925476	 -2.109875	-98.086372	 -0.645343	 19.458830	 -0.102033	 99.960716	  2.800832	
