BTS ASCII format

Type:         	Joint angle tracks
Measure unit: 	deg

Tracks:       	14
Frequency:    	100 Hz
Frames:       	501
Start time:   	0.000

 Frame	 Time	     jRK.X	     jRK.Y	     jRK.Z	    jRHP.X	    jRHP.Y	    jRHP.Z	    jLHP.X	    jLHP.Y	    jLHP.Z	     jLK.X	     jLK.Y	     jLK.Z	    jRSP.X	    jRSP.Y	    jRSP.Z	    jLSP.X	    jLSP.Y	    jLSP.Z	     jLP.X	     jLP.Y	     jLP.Z	     jRP.X	     jRP.Y	     jRP.Z	    jLSH.X	    jLSH.Y	    jLSH.Z	    jRSH.X	    jRSH.Y	    jRSH.Z	     jRF.X	     jRF.Y	     jRF.Z	     jLF.X	     jLF.Y	     jLF.Z	     jRA.X	     jRA.Y	     jRA.Z	     jLA.X	     jLA.Y	     jLA.Z	
    20	0.200	 -3.990221	  1.698151	 -0.197488	  0.638613	 -7.077406	 -2.063382	 -4.630681	  4.179522	 -3.341710	  3.154659	  1.935180	  1.041774	 -0.534010	  4.284024	 -9.397147	  0.534010	 -4.284024	 -9.397147	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.690977	-180.000000	 90.000000	-18.849863	-180.000000	 90.000000	  1.605888	-10.830700	  6.301266	  0.988480	-13.356013	 11.274580	
    21	0.210	 -3.993033	  1.702632	 -0.200323	  0.642570	 -7.080771	 -2.068985	 -4.614857	  4.181281	 -3.336817	  3.157213	  1.933417	  1.050143	 -0.524357	  4.293210	 -9.398337	  0.524357	 -4.293210	 -9.398337	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.691610	-180.000000	 90.000000	-18.851784	-180.000000	 90.000000	  1.608764	-10.851271	  6.311259	  0.990575	-13.361157	 11.278466	
    22	0.220	 -3.996091	  1.707841	 -0.200697	  0.647057	 -7.084829	 -2.074658	 -4.606048	  4.182905	 -3.331792	  3.161751	  1.933666	  1.059407	 -0.516363	  4.302097	 -9.397436	  0.516363	 -4.302097	 -9.397436	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.695232	180.000000	 90.000000	-18.854103	180.000000	 90.000000	  1.614372	-10.872271	  6.324776	  0.991846	-13.359733	 11.282666	
    23	0.230	 -3.997498	  1.713489	 -0.198645	  0.653757	 -7.090097	 -2.080601	 -4.590410	  4.185300	 -3.328826	  3.151842	  1.937220	  1.062723	 -0.510951	  4.310775	 -9.395106	  0.510951	 -4.310775	 -9.395106	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.701891	-180.000000	 90.000000	-18.854342	180.000000	 90.000000	  1.620983	-10.896442	  6.340704	  0.991105	-13.351176	 11.283875	
    24	0.240	 -4.001050	  1.719768	 -0.194083	  0.661171	 -7.096352	 -2.085976	 -4.573480	  4.188040	 -3.328090	  3.141454	  1.939163	  1.065898	 -0.508298	  4.318813	 -9.392840	  0.508298	 -4.318813	 -9.392840	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.709816	180.000000	 90.000000	-18.853218	180.000000	 90.000000	  1.626582	-10.918624	  6.355607	  0.988330	-13.346224	 11.287878	
    25	0.250	 -4.007052	  1.726903	 -0.187179	  0.670591	 -7.102872	 -2.090490	 -4.577059	  4.191094	 -3.326098	  3.148742	  1.934085	  1.078703	 -0.507933	  4.326206	 -9.390664	  0.507933	 -4.326206	 -9.390664	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.717319	-180.000000	 90.000000	-18.852446	180.000000	 90.000000	  1.632009	-10.937653	  6.370073	  0.986052	-13.341016	 11.297119	
    26	0.260	 -4.014116	  1.734618	 -0.180494	  0.683123	 -7.109224	 -2.093782	 -4.573206	  4.193800	 -3.325021	  3.149533	  1.928209	  1.088230	 -0.507772	  4.332735	 -9.388595	  0.507772	 -4.332735	 -9.388595	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.725117	180.000000	 90.000000	-18.849941	-180.000000	 90.000000	  1.635809	-10.956306	  6.382833	  0.982656	-13.338144	 11.305472	
    27	0.270	 -4.024270	  1.741717	 -0.172049	  0.695756	 -7.115421	 -2.093935	 -4.561869	  4.196242	 -3.323640	  3.139745	  1.922717	  1.094391	 -0.507850	  4.338424	 -9.386868	  0.507850	 -4.338424	 -9.386868	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.734226	-180.000000	 90.000000	-18.843887	-180.000000	 90.000000	  1.636558	-10.970574	  6.392115	  0.978466	-13.334371	 11.313970	
    28	0.280	 -4.036157	  1.748972	 -0.162892	  0.706351	 -7.122302	 -2.092947	 -4.544115	  4.199100	 -3.322679	  3.126173	  1.917819	  1.098658	 -0.507448	  4.344529	 -9.385388	  0.507448	 -4.344529	 -9.385388	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.743647	180.000000	 90.000000	-18.836903	-180.000000	 90.000000	  1.636632	-10.980899	  6.399806	  0.974261	-13.332572	 11.323150	
    29	0.290	 -4.044819	  1.755678	 -0.154642	  0.715909	 -7.129968	 -2.092865	 -4.534487	  4.202958	 -3.319690	  3.113392	  1.914076	  1.105356	 -0.506604	  4.351085	 -9.384846	  0.506604	 -4.351085	 -9.384846	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.753136	180.000000	 90.000000	-18.828911	-180.000000	 90.000000	  1.638015	-10.994455	  6.409368	  0.971328	-13.322490	 11.333640	
